Card   1: 18 39  5 97 33 74 70 35 40 72 | 62 23 33 94 18  5 91 74 86 88 82 72 51 39 95 35 44 87 65 15 46 10  3  2 84
Card   2: 58 50 13 61 80 48 99 86 45 31 | 61 32 19  6 72 31 52 79 93 45 85 67 56 80  8  9 60 42 73 17 99 13 58 92 50
Card   3: 65 10 18 47  8  4 99 51 71 48 | 85 87 88  8 48 18 47 67 95  4 99 86 53 51 65 44 61 10 28 14 77 71 21 58 42
Card   4: 22 99 16 18 81  3 62 43  2 42 |  8 55 39 83 29 10 87 27 25 70 19 30 80 12  1 41 85 14 34 82 90 76  5 89 15
Card   5: 23 45 94 25 59 75 22 97 62 57 | 75 87 97 22  5 74 99 42 92 57 66 55 89 56 71 30 25 90 35 20 23 62 59 65 16
Card   6:  6 56 78  8 89 70 97 91 31 75 | 86  3 75 21 43  8 97  6 19 23 70 78 92 25 91 89 45 31 83 58 79 32 67 56 50
Card   7:  7 94 92 91 83 16 56 45 46 98 | 85 51  5 60 80 71 10 19 99 26 48 17 38  6 28 86 75 21 63 59 76 70 12 24 25
Card   8: 42 44 48 75 49 35 56 21 89 18 | 15 39 88 74 95 72 94  9 93 22 83 85 63 16 62 61 34 24 90 41 47 38 68 66 13
Card   9: 43 45  1  3 29 75 98 61 11 37 | 59  4 82 11 94 37 85 61 42 49 89 65  6 57 93 51 98 35 78 13  1 32 88 77  8
Card  10: 49 90  6 30 33 86 19 56 41 95 | 53 52 19 43 50 54 73 41 66 49 10 86 48 27 32 16 13 95 64 79 51 90 38 47 55
Card  11: 96 42 79  3 36  4 76 13 45 15 |  7  1 48  9 62 73 88 29 76 39 36 59 80 14 58 82 56 64 53  3 60 10 15 40 38
Card  12: 13 39 45 96 17 88 67 46 74 11 | 37 33 26 97 75 46 54 86  8 94 71 89 99 91 64 15 52 16 50 60 27 76 22 66 31
Card  13: 35 65 29 46 96 73 47 90  8 79 | 21 76 19 30  6 42 51  1 82 69 58 45 72 15 70 89 60 91 49  7 12 50  4 83 43
