385803404726014, 386664184220541, 365612177547870 @ -192, -149, -36
67771006464582, 193910554798739, 21517103663672 @ 280, 136, 426
334054450538558, 356919582763697, 188448277532212 @ 84, -25, -48
312676332944619, 337964672568504, 98227917525187 @ -35, -48, 372
262053228716736, 348276320363511, 253216606954466 @ 37, -86, 31
333526091894424, 327836481184227, 164687124486536 @ -65, 10, 196
136308365945474, 334381606808383, 125587682445786 @ 158, -78, 267
323717230671270, 328009829437175, 337115590656098 @ -108, -69, -33
291700494449310, 337446891146933, 403527094306834 @ -89, -94, -36
213920672175570, 65552798424640, 292480960528288 @ -8, 190, 81
290980325848551, 318625443662390, 251065702879428 @ 73, 38, -87
356219743903424, 372738065198325, 173629044789054 @ -91, -167, 45
335569387143705, 220611972353945, 227370838301783 @ -123, 93, 118
378989155122831, 373893551581799, 490516490184776 @ -183, -133, -179
316964152354417, 377191852958393, 518250352298454 @ -97, -139, -301
269488686042498, 302755736242613, 265930073075472 @ 40, 17, -15
559034149216678, 519679436133677, 532650491704570 @ -390, -301, -211
199481489198585, 29551954045775, 151234141438259 @ 111, 443, 232
289629941437250, 268620305703325, 221264962397498 @ -7, 87, 85
275358066553404, 274068078596243, 240507508125410 @ 37, 90, 31
276827079064164, 101633616581386, 186011557695457 @ -26, 300, 176
297663782856030, 402738199321925, 248211515653058 @ -71, -175, 93
214575905428670, 285484598087669, 365634404691522 @ -9, -40, 5
109561933588174, 237133241090922, 359706372666613 @ 92, 6, 18
204240989840562, 334494358985081, 304086354165818 @ 30, -85, 43
321555343478910, 357901758547385, 179203142613938 @ -24, -90, 147
197324045077571, 308437347447096, 289742356642898 @ 135, -18, -17
330975278295456, 345099029477697, 232960502418240 @ -53, -45, -40
244758240275994, 148270370569025, 341619712434766 @ -11, 158, -16
275658599167282, 139017182984065, 117542199700234 @ -25, 238, 285
306387523207370, 360386737589534, 239496726901865 @ 56, -94, -98
357978580614954, 356129825909997, 225719435454654 @ -146, -83, -15
223671617009415, 329633075621279, 185533024675454 @ -29, -89, 195
328411184086263, 388776342220522, 226872420062246 @ 139, -300, -389
261336027047322, 256924147052505, 490381349202074 @ -23, 28, -239
259930234799528, 371376965446663, 398040751251448 @ 129, -134, -462
309284828898720, 323783526933825, 183744555090348 @ -23, -9, 152
402330549565980, 498319351820615, 224808408030698 @ -203, -256, 155
260202009982316, 216765106205019, 391896653167292 @ -55, 34, -26
218982781599390, 67441612502790, 343883169644443 @ -20, 174, 36
141849861082606, 232846248045093, 298748171766178 @ 54, 7, 83
295185614280178, 182720577600545, 349236005990226 @ -27, 248, -165
